t,meas_left,meas_right
1753187040.2004282,-0.2617993877991494,-0.08726646259971647
1753187040.270098,-0.20943951023931956,-0.06981317007977318
1753187040.3954396,-0.19198621771937624,-0.05235987755982989
1753187040.4024465,-0.19198621771937624,-0.05235987755982989
1753187040.5203013,-0.15707963267948966,-0.03490658503988659
1753187040.6041796,-0.15707963267948966,-0.03490658503988659
1753187040.645474,-0.13962634015954636,-0.017453292519943295
1753187040.7720275,-0.12217304763960307,-0.03490658503988659
1753187040.8064785,-0.12217304763960307,-0.03490658503988659
1753187040.897268,-0.08726646259971647,-0.03490658503988659
1753187041.0080416,-0.08726646259971647,-0.03490658503988659
1753187041.0254536,-0.06981317007977318,-0.017453292519943295
1753187041.150289,-0.05235987755982989,-0.03490658503988659
1753187041.2108035,-0.05235987755982989,-0.03490658503988659
1753187041.2775893,-0.017453292519943295,-0.017453292519943295
1753187041.4051335,-0.017453292519943295,-0.017453292519943295
1753187041.4123836,-0.017453292519943295,-0.017453292519943295
1753187041.5302165,-0.017453292519943295,-0.03490658503988659
1753187041.6133945,-0.017453292519943295,-0.03490658503988659
1753187041.6584873,-0.017453292519943295,-0.03490658503988659
1753187041.7845352,-0.017453292519943295,-0.03490658503988659
1753187041.8151448,-0.017453292519943295,-0.03490658503988659
1753187041.9121284,-0.017453292519943295,-0.03490658503988659
1753187042.0161335,-0.017453292519943295,-0.03490658503988659
1753187042.0400555,-0.017453292519943295,-0.017453292519943295
1753187042.1689584,-0.017453292519943295,-0.017453292519943295
1753187042.216835,-0.017453292519943295,-0.017453292519943295
1753187042.2965953,-0.017453292519943295,-0.017453292519943295
1753187042.4179118,-0.017453292519943295,-0.017453292519943295
1753187042.4214294,-0.017453292519943295,-0.017453292519943295
1753187042.5494723,-0.017453292519943295,-0.03490658503988659
1753187042.619077,-0.017453292519943295,-0.03490658503988659
1753187042.6751454,-0.017453292519943295,-0.017453292519943295
1753187042.7996728,-0.017453292519943295,-0.017453292519943295
1753187042.8199766,-0.017453292519943295,-0.017453292519943295
1753187042.9253771,-0.017453292519943295,-0.017453292519943295
1753187043.0215006,-0.017453292519943295,-0.017453292519943295
1753187043.0522933,-0.017453292519943295,-0.017453292519943295
1753187043.1784883,-0.03490658503988659,-0.017453292519943295
1753187043.2228835,-0.03490658503988659,-0.017453292519943295
1753187043.306412,-0.017453292519943295,-0.017453292519943295
1753187043.4235418,-0.017453292519943295,-0.017453292519943295
